city,airport,iata,state,country,latitude,longitude,aliases
Tezpur,Tezpur Airport,TEZ,Assam,India,26.7091,92.7847,"Salonibari"
Lilabari,Lilabari Airport,IXI,Assam,India,27.2955,94.0976,"North Lakhimpur"
Passighat,Pasighat Airport,IXT,Arunachal Pradesh,India,28.0661,95.3356,"Pasighat"
Itanagar,Donyi Polo Airport,HGI,Arunachal Pradesh,India,27.1424,93.7361,"Itanagar|Hollongi"
Bareilly,Bareilly Airport,BEK,Uttar Pradesh,India,28.4221,79.4508,"Bareilly|Trishul"
Ghaziabad,Hindon Airport,HDO,Uttar Pradesh,India,28.7077,77.3591,"Hindon|Ghaziabad"
Kishangarh,Kishangarh Airport,KQH,Rajasthan,India,26.5911,74.8139,"Ajmer Kishangarh"
Kota,Kota Airport,KTU,Rajasthan,India,25.1602,75.8456,"Kota"
Jeypore,Jeypore Airport,PYB,Odisha,India,18.8800,82.5500,"Jeypore"
Jharsuguda,Veer Surendra Sai Airport,JRG,Odisha,India,21.9133,84.0503,"Jharsuguda"
Kolhapur,Kolhapur Airport,KLH,Maharashtra,India,16.6646,74.2894,"Kolhapur"
Adampur,Adampur Airport,AIP,Punjab,India,31.4339,75.7586,"Jalandhar Adampur"
Bathinda,Bathinda Airport,BUP,Punjab,India,30.2701,74.7558,"Bhisiana"
Pathankot,Pathankot Airport,IXP,Punjab,India,32.2338,75.6346,"Pathankot"
Pithoragarh,Pithoragarh Airport,NNS,Uttarakhand,India,29.5940,80.2100,"Naini Saini"
Hissar,Hisar Airport,HSS,Haryana,India,29.1669,75.7544,"Hisar"
Kannur,Kannur International Airport,CNN,Kerala,India,11.9186,75.5472,"Kannur"
Vidyanagar,Jindal Vijaynagar Airport,VDY,Karnataka,India,15.1750,76.6340,"Toranagallu|Vidyanagar"
Bidar,Bidar Airport,IXX,Karnataka,India,17.9080,77.4870,"Bidar"
Kalaburagi,Kalaburagi Airport,GBI,Karnataka,India,17.3077,76.8426,"Gulbarga"
Shivamogga,Shivamogga Airport,RQY,Karnataka,India,13.8570,75.6180,"Shimoga"
Kurnool,Kurnool Airport,KJB,Andhra Pradesh,India,15.7167,78.1167,"Orvakal|Kurnool"
Kadapa,Kadapa Airport,CDP,Andhra Pradesh,India,14.5100,78.7728,"Cuddapah"
Nanded,Nanded Airport,NDC,Maharashtra,India,19.1833,77.3167,"Nanded"
Jalgaon,Jalgaon Airport,JLG,Maharashtra,India,20.9610,75.5750,"Jalgaon"
Rewa,Rewa Airport,REW,Madhya Pradesh,India,24.5000,81.3000,"Rewa"
Satna,Satna Airport,TNI,Madhya Pradesh,India,24.5623,80.8549,"Satna"
Bilaspur,Bilaspur Airport,PAB,Chhattisgarh,India,21.9884,82.1110,"Bilaspur"
Jagdalpur,Jagdalpur Airport,JGB,Chhattisgarh,India,19.0743,82.0368,"Jagdalpur"
Ambikapur,Ambikapur Airport,AMB,Chhattisgarh,India,23.1667,83.2000,"Ambikapur"
Rourkela,Rourkela Airport,RRK,Odisha,India,22.2567,84.8147,"Rourkela"
Berhampur,Berhampur Airport,QBM,Odisha,India,19.2667,84.8000,"Rangeilunda"
Malda,Malda Airport,LDA,West Bengal,India,25.0000,88.1500,"Malda"
Cooch Behar,Cooch Behar Airport,COH,West Bengal,India,26.3305,89.4675,"Cooch Behar"
Tezu,Tezu Airport,TEI,Arunachal Pradesh,India,27.9412,96.1344,"Tezu"
Zero,Ziro Airport,ZER,Arunachal Pradesh,India,27.5883,93.8281,"Ziro"
Along,Along Airport,IXV,Arunachal Pradesh,India,28.1753,94.8020,"Aalo"
Daporijo,Daporijo Airport,DEP,Arunachal Pradesh,India,27.9855,94.2228,"Daporijo"
Rupsi,Rupsi Airport,RUP,Assam,India,26.1397,89.9097,"Dhubri Rupsi"
North Lakhimpur,Lilabari Airport,IXI,Assam,India,27.2955,94.0976,"Lakhimpur"
Kailashahar,Kailashahar Airport,IXH,Tripura,India,24.3082,92.0075,"Kailashahar"
Kamalpur,Kamalpur Airport,IXQ,Tripura,India,24.1317,91.8140,"Kamalpur"
Khowai,Khowai Airport,IXN,Tripura,India,24.0619,91.6039,"Khowai"
Turial,Lengpui Airport,AJL,Mizoram,India,23.8406,92.6197,"Aizawl Lengpui"
Kohima,Kohima Airport,KHM,Nagaland,India,25.7333,94.0833,"Kohima"
Tura,Tura Airport,TURA,Meghalaya,India,25.5138,90.2030,"Tura"
Balurghat,Balurghat Airport,RGH,West Bengal,India,25.2617,88.7956,"Balurghat"
Asansol,Burnpur Airport,ASN,West Bengal,India,23.6319,86.9736,"Burnpur|Asansol"
Muzaffarpur,Muzaffarpur Airport,MZU,Bihar,India,26.1191,85.3137,"Muzaffarpur"
Darbhanga,Darbhanga Airport,DBR,Bihar,India,26.1928,85.9169,"Darbhanga"
Purnea,Purnea Airport,NNA,Bihar,India,25.7600,87.4100,"Purnia"
Raxaul,Raxaul Airport,RXL,Bihar,India,26.9965,84.8434,"Raxaul"
Jogbani,Jogbani Airport,JBN,Bihar,India,26.3990,87.2600,"Jogbani"
Saharsa,Saharsa Airport,SHC,Bihar,India,25.8800,86.6000,"Saharsa"
Bhagalpur,Bhagalpur Airport,BHW,Bihar,India,25.2420,86.9730,"Bhagalpur"
Deoghar,Deoghar Airport,DGH,Jharkhand,India,24.4450,86.7050,"Deoghar"
Dhanbad,Dhanbad Airport,DBD,Jharkhand,India,23.8340,86.4253,"Dhanbad"
Bokaro,Bokaro Airport,BKQ,Jharkhand,India,23.6430,86.1480,"Bokaro"
Dumka,Dumka Airport,DUM,Jharkhand,India,24.2680,87.2490,"Dumka"
Jamshedpur,Sonari Airport,IXW,Jharkhand,India,22.8132,86.1688,"Tatanagar"
Mumbai Navi,Proposed Navi Mumbai International Airport,NMI,Maharashtra,India,18.9830,73.0670,"Navi Mumbai|NMIA"
Noida,Noida International Airport,DXN,Uttar Pradesh,India,28.2840,77.7860,"Jewar|Noida Airport"
Ayodhya,Maharishi Valmiki International Airport,AYJ,Uttar Pradesh,India,26.7510,82.1550,"Ayodhya|Maryada Purushottam"
Ghaziabad Hindon,Hindon Airport,HDO,Uttar Pradesh,India,28.7077,77.3591,"Hindon"
Kushinagar,Kushinagar International Airport,KBK,Uttar Pradesh,India,26.7750,83.8880,"Kushinagar"
Moradabad,Moradabad Airport,MZS,Uttar Pradesh,India,28.8380,78.7610,"Moradabad"
Azamgarh,Azamgarh Airport,AZH,Uttar Pradesh,India,26.1500,83.1500,"Azamgarh"
Shravasti,Shravasti Airport,VSV,Uttar Pradesh,India,27.5070,82.0330,"Shravasti"
Aligarh,Aligarh Airport,HRH,Uttar Pradesh,India,27.8800,78.0800,"Aligarh"
Chitrakoot,Chitrakoot Airport,CWK,Uttar Pradesh,India,25.2000,80.9000,"Chitrakoot"
Hisar,Hisar Airport,HSS,Haryana,India,29.1669,75.7544,"Hissar"
Bhatinda,Bathinda Airport,BUP,Punjab,India,30.2701,74.7558,"Bathinda"
Ludhiana Sahnewal,Sahnewal Airport,LUH,Punjab,India,30.8547,75.9526,"Ludhiana"
Kangra,Kangra Airport,DHM,Himachal Pradesh,India,32.1651,76.2634,"Dharamshala Gaggal"
Kullu Manali,Kullu Manali Airport,KUU,Himachal Pradesh,India,31.8767,77.1544,"Bhuntar"
Pakyong,Pakyong Airport,PYG,Sikkim,India,27.2313,88.5869,"Gangtok|Pakyong"
Agatti,Agatti Airport,AGX,Lakshadweep,India,10.8237,72.1760,"Lakshadweep|Agatti Island"
Cuddapah,Kadapa Airport,CDP,Andhra Pradesh,India,14.5100,78.7728,"Kadapa"
Nellore,Nellore Airport,NLR,Andhra Pradesh,India,14.4300,79.9800,"Nellore"
Ongole,Ongole Airport,OGL,Andhra Pradesh,India,15.5050,80.0490,"Ongole"
Warangal,Warangal Airport,WGC,Telangana,India,17.9140,79.6020,"Warangal"
Nizamabad,Nizamabad Airport,NZB,Telangana,India,18.6720,78.0940,"Nizamabad"
Ramagundam,Ramagundam Airport,RMD,Telangana,India,18.7000,79.4000,"Ramagundam"
Mysuru,Mysore Airport,MYQ,Karnataka,India,12.2300,76.6558,"Mysore"
Hassan,Hassan Airport,HSN,Karnataka,India,13.0700,76.1000,"Hassan"
Vijayanagar,Jindal Vijayanagar Airport,VDY,Karnataka,India,15.1750,76.6340,"Toranagallu"
Puttaparthi,Sri Sathya Sai Airport,PUT,Andhra Pradesh,India,14.1493,77.7911,"Puttaparthi"
Hosur,Hosur Airport,QYH,Tamil Nadu,India,12.7330,77.8580,"Hosur"
Neyveli,Neyveli Airport,NVY,Tamil Nadu,India,11.6130,79.5280,"Neyveli"
Vellore,Vellore Airport,VOVR,Tamil Nadu,India,12.9090,79.0700,"Vellore"
Thanjavur,Thanjavur Air Force Station,TJV,Tamil Nadu,India,10.7224,79.1016,"Tanjore"
Pondicherry,Puducherry Airport,PNY,Puducherry,India,11.9680,79.8101,"Puducherry"
Karaikal,Karaikal Airport,KIK,Puducherry,India,10.9167,79.8333,"Karaikal"
Jamshedpur Dhalbhumgarh,Dhalbhumgarh Airport,DBM,Jharkhand,India,22.5120,86.5570,"Dhalbhumgarh"
Durgapur Andal,Kazi Nazrul Islam Airport,RDP,West Bengal,India,23.6225,87.2430,"Andal Durgapur"
Malda City,Malda Airport,LDA,West Bengal,India,25.0000,88.1500,"Malda"
Silchar Kumbhirgram,Silchar Airport,IXS,Assam,India,24.9129,92.9787,"Silchar"
Jorhat Rowriah,Jorhat Airport,JRH,Assam,India,26.7315,94.1755,"Jorhat"
Dibrugarh Mohanbari,Dibrugarh Airport,DIB,Assam,India,27.4839,95.0169,"Dibrugarh"
North Goa,Manohar International Airport,GOX,Goa,India,15.7320,73.8600,"Mopa|GOX"
South Goa,Goa International Airport,GOI,Goa,India,15.3808,73.8314,"Dabolim"
New Delhi,Indira Gandhi International Airport,DEL,Delhi,India,28.5562,77.1000,"Delhi|IGIA"
Bengaluru,Kempegowda International Airport,BLR,Karnataka,India,13.1986,77.7066,"Bangalore|Bengaluru Airport"
Calcutta,Netaji Subhas Chandra Bose International Airport,CCU,West Bengal,India,22.6547,88.4467,"Kolkata"
Madras,Chennai International Airport,MAA,Tamil Nadu,India,12.9941,80.1709,"Chennai"
Bombay,Chhatrapati Shivaji Maharaj International Airport,BOM,Maharashtra,India,19.0896,72.8656,"Mumbai"
Gurgaon,Indira Gandhi International Airport,DEL,Haryana,India,28.5562,77.1000,"Gurugram|Delhi NCR"
Noida City,Indira Gandhi International Airport,DEL,Uttar Pradesh,India,28.5562,77.1000,"Noida|Delhi NCR"
Ghaziabad City,Indira Gandhi International Airport,DEL,Uttar Pradesh,India,28.5562,77.1000,"Ghaziabad|Delhi NCR"
Faridabad,Indira Gandhi International Airport,DEL,Haryana,India,28.5562,77.1000,"Faridabad|Delhi NCR"
Nashik Ozar,Nashik Airport,ISK,Maharashtra,India,19.9625,73.8073,"Nashik"
Solapur,Solapur Airport,SSE,Maharashtra,India,17.6280,75.9340,"Solapur"
Laturs,Latur Airport,LTU,Maharashtra,India,18.4115,76.4647,"Latur"
Akola,Akola Airport,AKD,Maharashtra,India,20.6990,77.0586,"Akola"
Gondia,Gondia Airport,GDB,Maharashtra,India,21.5267,80.2900,"Gondia"
Ratnagiri,Ratnagiri Airport,RTC,Maharashtra,India,17.0136,73.3278,"Ratnagiri"
Keshod,Keshod Airport,IXK,Gujarat,India,21.3171,70.2704,"Keshod"
Porbandar,Porbandar Airport,PBD,Gujarat,India,21.6487,69.6572,"Porbandar"
Mundra,Mundra Airport,MDX,Gujarat,India,22.8200,69.7500,"Mundra"
Amreli,Amreli Airport,AML,Gujarat,India,21.5910,71.2180,"Amreli"
Bhavnagar City,Bhavnagar Airport,BHU,Gujarat,India,21.7522,72.1852,"Bhavnagar"
Jaisalmer City,Jaisalmer Airport,JSA,Rajasthan,India,26.8887,70.8649,"Jaisalmer"
Bikaner Nal,Bikaner Airport,BKB,Rajasthan,India,28.0706,76.2072,"Bikaner"
Ajmer,Kishangarh Airport,KQH,Rajasthan,India,26.5911,74.8139,"Ajmer"
Kota City,Kota Airport,KTU,Rajasthan,India,25.1602,75.8456,"Kota"
Jodhpur City,Jodhpur Airport,JDH,Rajasthan,India,26.2511,73.0489,"Jodhpur"
Udaipur City,Maharana Pratap Airport,UDR,Rajasthan,India,24.6177,73.8961,"Udaipur"
Gwalior City,Gwalior Airport,GWL,Madhya Pradesh,India,26.2933,78.2278,"Gwalior"
Khajuraho City,Khajuraho Airport,HJR,Madhya Pradesh,India,24.8172,79.9186,"Khajuraho"
Jabalpur City,Jabalpur Airport,JLR,Madhya Pradesh,India,23.1778,80.0520,"Jabalpur"
Indore City,Devi Ahilya Bai Holkar Airport,IDR,Madhya Pradesh,India,22.7218,75.8011,"Indore"
Bhopal City,Raja Bhoj Airport,BHO,Madhya Pradesh,India,23.2875,77.3374,"Bhopal"
Raipur City,Swami Vivekananda Airport,RPR,Chhattisgarh,India,21.1804,81.7388,"Raipur"
Jagdalpur City,Jagdalpur Airport,JGB,Chhattisgarh,India,19.0743,82.0368,"Jagdalpur"
Ranchi City,Birsa Munda Airport,IXR,Jharkhand,India,23.3143,85.3217,"Ranchi"
Patna City,Jay Prakash Narayan Airport,PAT,Bihar,India,25.5913,85.0880,"Patna"
Gaya City,Gaya Airport,GAY,Bihar,India,24.7443,84.9512,"Gaya"
Varanasi City,Lal Bahadur Shastri Airport,VNS,Uttar Pradesh,India,25.4524,82.8593,"Varanasi"
Lucknow City,Chaudhary Charan Singh International Airport,LKO,Uttar Pradesh,India,26.7606,80.8893,"Lucknow"
Kanpur City,Kanpur Airport,KNU,Uttar Pradesh,India,26.4414,80.3649,"Kanpur"
Agra City,Agra Airport,AGR,Uttar Pradesh,India,27.1558,77.9608,"Agra"
Prayagraj City,Prayagraj Airport,IXD,Uttar Pradesh,India,25.4400,81.7339,"Allahabad|Prayagraj"
Chandigarh City,Chandigarh Airport,IXC,Chandigarh,India,30.6735,76.7885,"Chandigarh"
Amritsar City,Sri Guru Ram Dass Jee International Airport,ATQ,Punjab,India,31.7096,74.7973,"Amritsar"
Srinagar City,Sheikh ul-Alam International Airport,SXR,Jammu and Kashmir,India,33.9871,74.7743,"Srinagar"
Jammu City,Jammu Airport,IXJ,Jammu and Kashmir,India,32.6891,74.8374,"Jammu"
Leh City,Kushok Bakula Rimpochee Airport,IXL,Ladakh,India,34.1359,77.5465,"Leh"
Guwahati City,Lokpriya Gopinath Bordoloi International Airport,GAU,Assam,India,26.1061,91.5859,"Guwahati"
Imphal City,Bir Tikendrajit International Airport,IMF,Manipur,India,24.7600,93.8967,"Imphal"
Agartala City,Maharaja Bir Bikram Airport,IXA,Tripura,India,23.8860,91.2404,"Agartala"
Port Blair City,Veer Savarkar International Airport,IXZ,Andaman and Nicobar Islands,India,11.6412,92.7297,"Port Blair"
Kochi City,Cochin International Airport,COK,Kerala,India,10.1520,76.4019,"Kochi|Cochin"
Pune City,Pune Airport,PNQ,Maharashtra,India,18.5822,73.9197,"Pune"
Ahmedabad City,Sardar Vallabhbhai Patel International Airport,AMD,Gujarat,India,23.0772,72.6347,"Ahmedabad"
Jaipur City,Jaipur International Airport,JAI,Rajasthan,India,26.8242,75.8122,"Jaipur"
Hyderabad City,Rajiv Gandhi International Airport,HYD,Telangana,India,17.2403,78.4294,"Hyderabad"
Chennai City,Chennai International Airport,MAA,Tamil Nadu,India,12.9941,80.1709,"Chennai"
Kolkata City,Netaji Subhas Chandra Bose International Airport,CCU,West Bengal,India,22.6547,88.4467,"Kolkata"
Mumbai City,Chhatrapati Shivaji Maharaj International Airport,BOM,Maharashtra,India,19.0896,72.8656,"Mumbai"
Bangalore City,Kempegowda International Airport,BLR,Karnataka,India,13.1986,77.7066,"Bangalore"
Delhi City,Indira Gandhi International Airport,DEL,Delhi,India,28.5562,77.1000,"Delhi"
